Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-07-28 02:00:00,-79.4,43.63,18.6,1.8,8.0,4.8,"Rain,Fog"
2014-07-28 03:00:00,-79.4,43.63,18.6,6.5,13.0,4.8,"Moderate Rain,Fog"
2014-07-28 04:00:00,-79.4,43.63,18.2,6.5,18.0,11.3,Rain
2014-07-28 05:00:00,-79.4,43.63,17.6,1.0,21.0,12.9,Rain
2014-07-28 06:00:00,-79.4,43.63,17.7,0.2,22.0,16.1,Rain
2014-07-28 10:00:00,-79.4,43.63,16.4,0.2,24.0,16.1,Rain
2014-07-29 20:00:00,-79.4,43.63,17.5,0.5,15.0,12.9,Rain
2014-07-29 21:00:00,-79.4,43.63,16.6,0.8,5.0,16.1,
2014-07-30 15:00:00,-79.4,43.63,19.7,8.9,4.0,16.1,
2014-08-04 13:00:00,-79.4,43.63,22.6,0.5,11.0,16.1,Thunderstorms
2014-08-04 17:00:00,-79.4,43.63,19.2,0.5,13.0,16.1,
2014-08-12 00:00:00,-79.4,43.63,19.4,5.1,8.0,8.1,"Rain,Fog"
2014-08-12 01:00:00,-79.4,43.63,19.5,6.8,5.0,2.4,"Heavy Rain,Fog"
2014-08-12 02:00:00,-79.4,43.63,20.0,7.3,11.0,16.1,
2014-08-12 03:00:00,-79.4,43.63,20.2,0.2,24.0,14.5,Rain
2014-08-12 04:00:00,-79.4,43.63,20.1,1.5,24.0,16.1,
2014-08-16 14:00:00,-79.4,43.63,13.8,0.2,13.0,16.1,
2014-08-16 16:00:00,-79.4,43.63,13.4,0.5,15.0,16.1,Rain
2014-08-16 17:00:00,-79.4,43.63,14.0,0.2,24.0,16.1,
2014-08-20 19:00:00,-79.4,43.63,18.7,0.2,22.0,12.9,
2014-08-20 21:00:00,-79.4,43.63,18.1,0.8,22.0,6.4,"Rain,Fog"
2014-08-30 10:00:00,-79.4,43.63,20.2,1.8,11.0,6.4,"Thunderstorms,Moderate Rain,Fog"
2014-08-30 11:00:00,-79.4,43.63,20.9,0.2,11.0,16.1,
2014-09-01 22:00:00,-79.4,43.63,21.7,1.8,13.0,16.1,Rain
2014-09-01 23:00:00,-79.4,43.63,21.9,0.5,13.0,16.1,Rain
2014-09-02 12:00:00,-79.4,43.63,21.9,0.2,9.0,8.1,"Rain,Fog"
2014-09-02 13:00:00,-79.4,43.63,22.0,0.8,15.0,6.4,"Rain,Fog"
2014-09-02 14:00:00,-79.4,43.63,18.7,8.6,18.0,4.0,"Thunderstorms,Moderate Rain,Fog"
2014-09-02 15:00:00,-79.4,43.63,19.4,4.5,11.0,16.1,Rain
2014-09-02 16:00:00,-79.4,43.63,19.4,0.2,15.0,16.1,
2014-09-05 07:00:00,-79.4,43.63,22.2,0.8,11.0,11.3,"Thunderstorms,Rain"
2014-09-05 20:00:00,-79.4,43.63,20.4,7.1,5.0,16.1,"Thunderstorms,Rain"
2014-09-05 21:00:00,-79.4,43.63,20.1,3.0,9.0,16.1,"Thunderstorms,Moderate Rain"
